component,layer,dim,selected_because,mean,mean_abs,mean_sq,var,constant_energy,constant_ratio,raw_energy_frac,centered_energy_frac,constant_energy_frac_of_raw
attn_delta,6,197,variable_rank_6,17042.564453125,17042.564453125,1287227136.0,996778176.0,290449003.13891983,0.22563927920403928,0.0016108567093461568,0.002893652531077101,0.0003634725467978574
attn_delta,6,202,constant_rank_8;raw_rank_8,51931.3125,51931.3125,3191518720.0,494657760.0,2696861217.9726562,0.8450087417856839,0.003993917778249711,0.0014359941998177627,0.003374895436594262
attn_delta,6,230,constant_rank_6;raw_rank_4,-55036.9296875,55036.9296875,3547987456.0,518924032.0,3029063629.426819,0.8537413581618984,0.0044400084789492835,0.0015064393209924516,0.0037906188690685063
attn_delta,6,248,variable_rank_4,-23659.4375,23659.4375,1582145152.0,1022376128.0,559768982.8164062,0.35380381004157463,0.001979921850605467,0.002967963526621199,0.0007005038943287797
attn_delta,6,286,constant_rank_9;raw_rank_10,-51818.98828125,51818.98828125,3107801600.0,422593856.0,2685207546.492325,0.8640215470937156,0.0038891528298831027,0.0012267922898745647,0.0033603118449595007
attn_delta,6,302,variable_rank_7,15751.171875,15751.171875,1232630144.0,984530688.0,248099415.43579102,0.20127644666443514,0.001542533156793798,0.0028580980060043766,0.00031047559266152966
attn_delta,6,381,constant_rank_10,-50498.8046875,50498.8046875,3097038592.0,546909568.0,2550129274.866272,0.8234089434511871,0.003875683828830637,0.0015876814860295294,0.003191272726648286
attn_delta,6,487,constant_rank_7;raw_rank_7,54315.80859375,54315.80859375,3324158976.0,373951968.0,2950207063.1928864,0.8875048048222127,0.0041599059246548165,0.0010855846212913705,0.0036919364957395387
attn_delta,6,495,constant_rank_3;raw_rank_3,56205.96484375,56205.96484375,3551232512.0,392122048.0,3159110484.016861,0.8895814265446951,0.004444069394139471,0.0011383324635373402,0.003953361591302209
attn_delta,6,548,raw_rank_9,49676.07421875,49676.07421875,3145169920.0,677457472.0,2467712349.7867584,0.7846038250889664,0.003935916145622427,0.0019666627698617413,0.0030881348630847774
attn_delta,6,619,variable_rank_10,-8434.298828125,8434.298828125,985332992.0,914195584.0,71137396.72211075,0.07219630043820835,0.0012330615294792256,0.002653914811976289,8.902248064107887e-05
attn_delta,6,690,constant_rank_1;variable_rank_1;raw_rank_1,-462861.4375,462861.4375,236395479040.0,22154762240.0,214240710324.5664,0.9062809119472001,0.29582909870436636,0.0643153967199091,0.26810426535431137
attn_delta,6,703,variable_rank_3,-7622.82568359375,7622.82568359375,1273351296.0,1215243904.0,58107471.40245652,0.04563349610197163,0.001593492260340466,0.00352785974187061,7.271662285076861e-05
attn_delta,6,720,variable_rank_2,-21203.328125,21203.328125,1685771648.0,1236190464.0,449581123.576416,0.26669159142034404,0.0021096017118196675,0.003588667720837997,0.0005626130377882692
attn_delta,6,757,constant_rank_4;raw_rank_6,55468.4921875,55468.4921875,3352672256.0,275918528.0,3076753625.5547485,0.9177018779716798,0.0041955879011366,0.0008009930054069201,0.003850298896068316
attn_delta,7,0,variable_rank_9,19249.33984375,19249.33984375,2224022528.0,1853485568.0,370537084.4201813,0.16660671362596075,0.0011909952552850256,0.002840929799614167,0.00019842780542715026
attn_delta,7,78,constant_rank_7;raw_rank_5,-51866.29296875,51866.29296875,4097012224.0,1406899968.0,2690112346.3202057,0.6566034464241339,0.00219400750585776,0.00215642577054445,0.0014405928898266235
attn_delta,7,101,variable_rank_3,1335.6993408203125,1335.6993408203125,2311626496.0,2309842432.0,1784092.7290678173,0.0007717910882899905,0.0012379084087799084,0.00354041073250054,9.55406678015576e-07
attn_delta,7,132,constant_rank_6;raw_rank_9,53228.32421875,53228.32421875,3595269376.0,762014976.0,2833254499.136368,0.7880506862850345,0.0019253171738949015,0.0011679783702910785,0.0015172475202042404
attn_delta,7,141,constant_rank_4;raw_rank_4,60524.7578125,60524.7578125,5083320832.0,1420074880.0,3663246308.26178,0.7206403902742646,0.002722189598253714,0.002176619615457136,0.0019617197744861
attn_delta,7,165,variable_rank_4,32029.583984375,32029.583984375,3227033088.0,2201138688.0,1025894250.2121315,0.3179063313688997,0.0017281214772190403,0.0033737950808920623,0.0005493807589825086
attn_delta,7,189,constant_rank_2;raw_rank_3,73834.4375,73834.4375,6181885952.0,730362304.0,5451524160.941406,0.8818545348895829,0.0033104866272043237,0.0011194627407794637,0.0029193676448914527
attn_delta,7,202,constant_rank_5;raw_rank_6,56899.15625,56899.15625,4023125504.0,785611328.0,3237513981.961914,0.8047260714941679,0.002154440131048968,0.0012041456762126024,0.001733734142928416
attn_delta,7,293,constant_rank_3;variable_rank_2;raw_rank_2,71462.7734375,71462.7734375,9021050880.0,3914123008.0,5106927987.379456,0.5661123138881415,0.004830899264957807,0.0059993716081541346,0.0027348315610457867
attn_delta,7,294,raw_rank_8,46800.45703125,46800.45703125,3804635392.0,1614352512.0,2190282778.3338776,0.5756879576264735,0.0020374356117859806,0.0024743986344450387,0.0011729271461445158
attn_delta,7,340,variable_rank_7,31834.587890625,31834.587890625,3002865152.0,1989424256.0,1013440986.1659279,0.3374913407253553,0.0016080764035735285,0.003049289808630246,0.0005427118614308377
attn_delta,7,400,variable_rank_5,25945.36328125,25945.36328125,2763338496.0,2090176640.0,673161875.7960358,0.24360456627751326,0.001479806519964558,0.003203718014077039,0.0003604876254706024
attn_delta,7,424,constant_rank_8;raw_rank_7,50855.203125,50855.203125,3809495040.0,1223243264.0,2586251684.88501,0.6788961943063745,0.0020400380214457246,0.0018749259777753496,0.0013849740489998083
attn_delta,7,438,variable_rank_6;raw_rank_10,37451.30859375,37451.30859375,3469563904.0,2066963328.0,1402600515.3842926,0.40425844693831947,0.0018580001306408485,0.003168137812673204,0.0007511122472240641
attn_delta,7,487,constant_rank_9,49606.60546875,49606.60546875,3351596544.0,890781376.0,2460815306.1322174,0.7342218175208315,0.0017948269548885116,0.0013653450556674158,0.0013178011089536223
attn_delta,7,492,variable_rank_8,34882.5390625,34882.5390625,3143238400.0,1926446720.0,1216791531.4468384,0.38711398137883474,0.0016832482465886673,0.0029527609972828063,0.0006516089303858816
attn_delta,7,605,variable_rank_10,-23989.607421875,23989.607421875,2420249344.0,1844748032.0,575501264.2556801,0.23778593956957192,0.0012960774673010397,0.0028275373422753233,0.00030818899831712887
